problem_code,panel,grade,score,reasons,text,image_path
102D27,C,A,1.0,,切歯管.、CT 像では上額右側中切歯、側切歯の根部を含む。、変に接している,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/102回/102D27-abc.png
103B34,A,A,1.0,,発赤部、白斑部,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/103回/103B34-ab.png
103B34,B,B,0.55,symbol_noise,ヨード不染域,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/103回/103B34-ab.png
103B7,A,A,1.0,,右側上顎歯列の下方への偏位、びまん性のすりガラス様半不透過像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/103回/103B7-ab.png
103D12,A,A,1.0,,右側部膨張、境界明瞭な嚢胞様透過像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/103回/103D12-abc.png
103D12,B,A,0.8,low_medical_signal,肉芽様組織、崩壊した歯冠部、下縁皮質骨まで吸収しているが膨降はみられない、中隔か？,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/103回/103D12-abc.png
103D15,B,B,0.65,pattern_noise,-非角化性重層扁¥上皮、線維性結合組織／8］を含む単房性境界明なエックス線透過像、境界明瞭な、単房性透過像、後頭前頭方向エックス線撮影,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/103回/103D15-ab.png
103D15,D,A,0.8,low_medical_signal,非薄化した皮質骨,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/103回/103D15-ab.png
103D17,A,A,1.0,,境界明瞭透過像、（21/12の根を含む）、/（鼻腔底と重複する）／は歯槽突起口蓋側、上顎洞底に及んでいる。、上頭第一、第二大臼歯根部の（、拇指頭大の類円形透過像、両歯の全部鋳造冠は連結されてお、り。おそらく第一大臼歯が原因で、あっただろうが、第二大臼歯が支、えていたため発見が遅れ、病変が、増大するまで気付かなかったと思,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/103回/103D17-ab.png
103D17,B,A,1.0,,•隆を認め、骨は、非薄化している、境界明瞭な透過像、上顎前歯根尖よりやや上方の、水平断CT 後で、左右上顎洞、に接する境界明瞭な透過像を、認め、唇側ならびに口蓋側に、膨隆し、唇側の骨の非薄化を、認める。この像では切歯孔は、パノラマ像とCTから上顎前歯を原因とする歯根嚢胞を疑う,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/103回/103D17-ab.png
104B28,A,A,0.8,low_medical_signal,治療不良、腐骨？汚れた骨面、左側大臼歯の抜歯高の治療は不全で、変色した骨面が、露出している／抜歯の治癒不全／歯間乳頭部の腫瘤,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/104回/104B28-ab.png
104B28,B,A,0.8,low_medical_signal,-腐骨分離、均一な骨硬化像（不透過性／骨の不透過性が全体／・細長い上皮突起を認め、る以外。上皮内に異型、細胞などは認めない、上皮下には肉芽または、線維組織の増生が認め,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/104回/104B28-ab.png
104B28,C,A,0.8,low_medical_signal,左側上顎洞内の不透過性亢進、的に亢進している、-皮質骨の断裂,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/104回/104B28-ab.png
104B48,A,A,1.0,,半球状の腫瘤結膜はほぼ正常色、びらん、漬瘍を認めない、・多形腺腫：極めて多様な組織像を呈する、・腺様嚢胞癌：組織像は上皮細胞が多数の小腔を含む状の胞巣形成,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/104回/104B48-a.png
104B48,B,A,1.0,,小嚢胞状の控、篩状ないレレンコン状、の胞果形成,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/104回/104B48-a.png
104D12,A,A,1.0,,境界明瞭な透過像、歯の移動。歯根吸収は認めず透過像は歯槽中隔,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/104回/104D12-abc.png
104D25,A,A,1.0,,不透過像（+）、小不透過物、の集合？、\左右差あり,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/104回/104D25-ab.png
104D25,B,A,1.0,,•石灰化物（+）、している、CTでは下頻頭前方に明らかな石灰化物を認め、後、方部及び側方に小さな石灰化物を多数認める。下顎、頭自体には左右差はほぼ認めない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/104回/104D25-ab.png
104D33,B,A,0.8,low_medical_signal,皮質骨と連続する不整形の硬組織塊が突出している,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/104回/104D33-ab.png
104D43,A,A,0.8,low_medical_signal,下顎右側前歯部の、健常粘膜色、膨隆と歯の傾斜,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/104回/104D43-ab.png
104D43,B,A,1.0,,多胞性というより、蜂巣状の嚢胞様透過像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/104回/104D43-ab.png
105A58,A,A,1.0,,IC の晩期残存か？、花冠状構造、石灰化物、腺管状構造,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105A58-ab.png
105A58,B,A,1.0,,一透過像内の点状不透過、腫瘍細胞の結飾状増殖,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105A58-ab.png
105A58,C,A,0.8,low_medical_signal,埋伏歯は3か？,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105A58-ab.png
105B13,A,A,1.0,,発はない／でも神経症状はみられないことが多い、下頭右側臼歯部の腫瘤、にかけての境界明瞭な単胞性透過像／設問として適切であるか疑問が残る。,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105B13-ab.png
105B13,B,A,1.0,,下顎左側臼歯部類側歯肉に腫脹を認めるが、発赤はない、境界明瞭な透過像／埋伏歯を含む単胞性嚢胞様透過像、角化性扁平上皮、本来の義胞腔／病変は頬舌的によりも近遠心的に増大している、埋伏歯を含む、下顎臼歯部～下顎枝部、ナイフカット状の歯根吸収／下顎骨体部、頭角部。下額枝、下顎下線に及ぶ広範な持変,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105B13-ab.png
105B13,D,A,0.8,low_medical_signal,剥がれ落ちた角、化物と錯角化,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105B13-ab.png
105B15,A,A,1.0,,潰瘍を伴う紅板白板が混在する、表面粗造な病変,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105B15-ab.png
105B15,B,A,0.8,low_medical_signal,癌真珠を認め高分化型、の扁平上皮癌の像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105B15-ab.png
105B33,A,A,1.0,,粘膜色の腫脹／左側口腔底の半球状の腫脹、正常粘膜色を呈する,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105B33-ab.png
105B33,B,A,1.0,,-嚢胞様病変、オトガイ舌骨筋一／F、24HZ、類球形の強い集積。線状の欠損。不定形の集積像、正中、に近い断面と思われるため顎骨筋付着部は深く、オト、ガイ下際には達していない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105B33-ab.png
105B47,A,A,1.0,,組織学的所見より確定診断に至る。、境界明瞭で表面平滑な腫瘤／られていることから確定診断に至る。、表面平滑で境界明瞭な口蓋、部の睡塩、正常粘膜に覆われ、潰瘍な、どを認めない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105B47-ab.png
105B47,B,A,0.8,low_medical_signal,腺管構造、軟贇様組織,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105B47-ab.png
105C18,B,A,1.0,,SSmTc の高度集積、嚢胞腔,
105C18,C,A,0.8,low_medical_signal,周囲を圧迫するような腫瘍の増大、好酸性の高円柱細胞（内層）と、間質にはリンパ組織の、多角形細胞（外居）の2層構、造からなる腺上皮の乳頭状増殖,
105D13,A,A,1.0,,境界明瞭な佶号強度、不均一な病変、核の渦巻き状配列く／外向性増殖,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105D13-ab.png
105D13,B,A,1.0,,境界明瞭な病変（造影の、ために不均一な（号が均、一化されている）、東状型（Antoni A 型）／を示す腫寄、核の柵状配列、（観兵式様配列）,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105D13-ab.png
105D13,C,A,1.0,,網状型（Antoni B 型）、組織像では網状型を呈する部分と束状型を呈する部分が、みられ、後者では核が柵状または観兵式配列を認める部,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105D13-ab.png
105D51,A,A,1.0,,-不明瞭な上顎洞底、根管充填されている、上顎左側第一大臼歯、境界明瞭な透過像の辺縁,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105D51-ab.png
105D51,B,A,1.0,,境界明瞭な円形透、過像、腔と連続してい、る、失活歯である（疎、な根管充填がされ、ている）、▶ 境界明瞭な、透過像がみ,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105D51-ab.png
105D51,C,A,0.8,low_medical_signal,陶材焼付鉄造ブリッジ,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/105回/105D51-ab.png
106A49,A,A,0.8,low_medical_signal,広基性・孤立性の／表面乳頭様の粘膜変化,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/106回/106A49-ab.png
106A49,B,A,0.8,low_medical_signal,過角化、に白くみえる、上の勘枝状増殖が、上皮下は、街枝状に、増殖した上皮の影物、で、一部に結合組織、が、それ以外に特記、事項はない／表面の凹凸がある、基底細胞の重層化、有辣細胞層の肥厚、錯角化を伴う角化層,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/106回/106A49-ab.png
106B15,A,A,1.0,,顔貌所見は軽度の左右非、頭骨の隆と、すり、ガラス状の不透過像／る。、頬舌的に大きく膨降しているものの、皮質骨の破壊は認められず、また病／エックス線所見では、根部限局性に、透過像内部の不整形不透過物が認めら,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/106回/106B15-ab.png
106B15,B,A,0.8,low_medical_signal,下顎左側部の腫服を、認める,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/106回/106B15-ab.png
106B15,C,A,1.0,,下顎左側骨体部〜下顎枝部、にすりガラス状の不透過像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/106回/106B15-ab.png
106C88,A,A,0.8,low_medical_signal,上側右側臼歯部の服と、瘢痕と思われる所見,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/106回/106C88-ab.png
106C88,B,A,0.8,low_medical_signal,上顎洞底線、 内壁）は確認されず。、右側上顎洞の正常構造（後壁,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/106回/106C88-ab.png
106D19,A,A,1.0,,白斑、下顎左側大臼歯部類側歯肉に白、斑紅斑混在病変を認め、前方部、の紅斑はやや陥凹しているよう、にみえ、後方の白斑はやや陸起、紅斑、しているようにみえる,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/106回/106D19-ab.png
106D19,B,A,1.0,,口内法エックス線、写真では、「7根周、国に一層の透過像、を認め、根災部に、はその拡大を思わ、せる。大臼歯部に、は骨硬化像がみら、一層の透過像、パノラマエックス、線写真では口内法、エックス線写真所、見と同じ所見で、下顎管の下方にも、異常を認めない、虫食い像などはみられない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/106回/106D19-ab.png
106D22,A,A,1.0,,埋伏歯を含む境界明瞭な大きな嚢胞様透過像／下顎左側臼歯部の腫脹,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/106回/106D22-ab.png
106D22,E,A,1.0,,嚢胞腔、嚢胞壁は錯角化性平上皮で裏層されている,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/106回/106D22-ab.png
107A92,B,A,1.0,,多発性の嚢胞様透過像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/107回/107A92-a.png
107B40,A,A,1.0,,わずかに睡張している／下顎角部下顎管下方の境界明瞭な異胞様透過像,
107C49,A,A,1.0,,粘膜表面の発赤と、潰瘍様の変化を伴い。、境界やや不明瞭に隆起、する左側軟口蓋の病変,
107C49,B,A,1.0,,左側軟口蓋（上顎結節内側）に、類円形で境界不明瞭、内部不均,
107D41,A,A,0.8,low_medical_signal,肉芽状の外向性病変、平坦な白色病変,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/107回/107D41-ab.png
107D41,B,A,1.0,,転移リンパ節、内頭静脈、胸鎖乳突筋、総類動脈,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/107回/107D41-ab.png
108B10,A,A,0.8,low_medical_signal,下顎前歯部歯肉に腫瘤を、認める、を超えていると思われ、T2に分類されると考え／（ミラー像）,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108B10-ab.png
108B10,B,A,1.0,,パノラマ所見からは明、確な骨吸収は認めない、ようにも思えるが・・・••・、デンタル所見からは歯槽部に半透過像／骨浸潤は認められない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108B10-ab.png
108B10,C,A,1.0,,エックス線、CT 所見からは明らかな,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108B10-ab.png
108B16,A,A,1.0,,境界不明瞭な軽度の膨降／鼻唇溝の消失、鼻孔内部の膨隆,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108B16-ab.png
108B16,B,A,0.8,low_medical_signal,淡褐色透明な内容液／歯肉唇移行部の腫瘤,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108B16-ab.png
108B35,A,A,0.8,low_medical_signal,～歯肉の顔服、歯の移動に伴う空隙、唇側傾斜,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108B35-ab.png
108B35,B,A,1.0,,境界明瞭な透過像、切られたような吸収像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108B35-ab.png
108B39,A,A,0.8,low_medical_signal,を示している、浮遊歯状態の 6 5／像診断、画、左下顎正中部～臼歯部にかけて歯肉の陥凹がある。、また正中部は粗造な製満を伴う,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108B39-ab.png
108B39,B,A,0.8,low_medical_signal,船底型の骨吸収、類舌側皮質骨の吸収消失、粗造な吸収先端部、浮遊歯状態の 6］／虫食い様の骨破壊像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108B39-ab.png
108B39,D,A,1.0,,癌真珠、高分化扁平上皮癌の病理組織像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108B39-ab.png
108C2,A,A,1.0,,頬粘膜の腫脹,
108C2,B,A,0.8,low_medical_signal,粘膜膨隆下の骨に病的な骨破壊はない／塊状の摘出標本,
108C48,A,A,1.0,,することができ、青紫色の膨隆、青紫色を呈する半球状の膨隆／る。腫脹は緩慢な増大傾向を示す。主訴および経過と合致する。、処置時、初診時、開窓術が選択され、口腔粘膜と嚢胞壁を全周にわたり、口底右側に透明感のある青味がかったドーム状の腫脹,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108C48-a.png
108C48,B,A,0.8,low_medical_signal,一部正中を越える左側口、底部の不整な高僧号領域／縫合された、内腔、ウ、イ、ア、内腔※A、オ、工,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108C48-a.png
108D20,A,B,0.65,pattern_noise,解してほしい。、エックス線所見で埋伏菌、（18）を含む境界明な、単胞性嚢胞様透過像を認、める、冠を取り囲んだ透過像、ではない点に注意！、（含歯性養胞の画像検査、所見の場合。埋伏歯の、歯冠を取り囲んだ透過、像となる）／に一致するかをチェックすることとなる。、根の吸収像、下顎切痕に達する単胞性（あるいは多胞性？）骨吸収像、下顎切痕に達する透過像／下顎正中を中心、に左右の臼歯に、及ぶ境界明瞭な、透過像を認め、骨膨降のために、病変部の歯の転,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108D20-abc.png
108D20,B,A,1.0,,埋伏歯を含む境界明瞭な単胞性透過像、-生検、抜歯、開窓後の状態、に食渣が侵入する、一開窓部が被覆されるように装置、を装着する／根吸収、傾斜、分葉状病変、顎骨、MRI T2 強調像で下前歯部を中心とし、容,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108D20-abc.png
108D20,C,A,1.0,,手術後、装置装着時／境界明瞭な透過像、線維性結合組織、円柱状上皮細胞、星状細胞、エナメル髄類似構造、病理組織像で、間質である線維性結合組織のなかに、胞巣状の腫携実質を認め、その境界部には円柱状や立、方形の細胞が配列し、中央部はエナメルに類似した,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108D20-abc.png
108D36,A,A,1.0,,下顎骨に接し、口底の筋と舌、筋を圧排する境界明瞭な病変、下頭骨に接する境界明瞭な病変／二重あご顔貌／健全粘膜に覆われた腫痛が、舌下を占拠している,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108D36-a.png
108D36,B,A,1.0,,造影 CT 矢状断像、造影 CT 横断像、造影CT 横断像と類似の境界、明瞭な高倍号病変／角質変性物、角化性重層扁平上皮、皮脂腺,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108D36-a.png
108D36,C,A,1.0,,脂肪抑制T2 強調横断像、内腔、角化層、角化物、重層扁平上皮、\脂腺、嚢胞壁、病理組織像では角化、性重層平上皮で被、覆された裏胞壁を認、め、内腔には角化、嚢胞壁中には脂,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/108回/108D36-a.png
109B30,A,A,1.0,,びまん性腫脹一,
109B30,B,A,1.0,,境界明瞭な、高信号、低儔号、T2 強調横断像、T1強調横断像、右側顎下部に境界明瞭な低信号病変を、右側額下部に境界明瞭な高信号病変を、認め、液体の貯蜜を示唆する、認め、液体の貯留を示唆する,
109B34,A,A,1.0,,が、内部は造影さ、れておらず低吸収、域となっている、enhancement）、であり、転移り、ンバと考えら,
109B34,B,A,0.8,low_medical_signal,矢印部の強下リン、バ節は、辺縁が軽、度造意されている、冠状断、横断,
109C57,A,A,0.8,low_medical_signal,る、左側下顎窓付近の,
109C57,B,A,1.0,,ただし、不透過像周囲に一層の透過像は認められない、舌側皮質骨と連続した、皮、質骨と同程度の濃度を有す／下顎頭の肥大は認、上関節腔付近の、遊離体を示唆す、るCT所見,
109C57,C,A,0.8,low_medical_signal,所見と、その内部に遊離体の存在を示唆する粒状信,
109D19,A,A,1.0,,右側口底部の腫瘤／口底の腫瘤、ごく軽度の造影効果を示す左側顎下腺に異常所見は認めない,
109D19,C,A,0.8,low_medical_signal,左側口底部の境界やや不明瞭で不規則な高倉号領域,
109D45,A,A,1.0,,する根拠となる、左側下顎歯肉に境界不明瞭／舌下部の腫脹／ray appearance）,
109D45,B,A,1.0,,浸潤型、虫食い型のエック／異常集積、骨表示CT 横断像、造影CT横断像、骨浸シや転移を疑わせる所見は確認できない,
110C28,A,A,1.0,,潰瘍状、隆起状、癌と思われる一、集積像、耳下腺、外頸動脈、胸鎖乳突筋,
110C28,C,A,0.8,low_medical_signal,癌胞巣、癌真珠リンパ球浸潤、下類枝、…内頭動脈、-内頚静脈,
110C30,B,A,0.8,low_medical_signal,口蓋等は破壊されており、悪,
110C30,C,A,1.0,,MRI T2強調像で内部不均一、脂肪よりやや低い号強,
111A78,A,A,1.0,,リンパ腫が出題された点に注意したい。、（ミラー像）、口蓋正中の腫脹／筋肉と同程度の吸収域を示す、複数の腫瘤性病変,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111A78-ab.png
111A78,B,A,0.8,low_medical_signal,上顎正中の骨吸収が進行しているようにもみえる／病変は、ほぼ均ーな軽度高価号を示す、脂肪抑制T2強調像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111A78-ab.png
111A87,A,A,1.0,,- 小臼歯部の腫脹,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111A87-ab.png
111B77,A,A,1.0,,軽度の職降を示す肉芽状の、舌癌、白板症様の部位／右側舌縁部に境界不明瞭な,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111B77-abc.png
111B77,B,A,1.0,,わずかな造影効果を示す病変部に一致した、高密度領域,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111B77-abc.png
111B77,C,A,0.8,low_medical_signal,病変部に、一致した、集積、扁桃部の生理的集積,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111B77-abc.png
111C71,A,A,0.8,low_medical_signal,111A-87と併せて確認しておこう。,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111C71-ab.png
111C71,B,A,0.8,low_medical_signal,頬側への臓隆および一部皮質,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111C71-ab.png
111D47,A,A,0.8,low_medical_signal,大臼歯部類側の膨隆,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111D47-ab.png
111D47,B,A,1.0,,境界明瞭な透過性病変中に比較的広範囲を、下顎下縁の骨膨隆、占める不規則な不透過性領域,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111D47-ab.png
111D74,A,A,0.8,low_medical_signal,定数存在することが浮き彫りとなった。、口蓋部の腫語、悪性所見はない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111D74-a.png
111D74,B,A,0.8,low_medical_signal,大小様々な裏胞状、腺管、状の巣を形成している,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/111回/111D74-a.png
112A46,A,A,0.8,low_medical_signal,口蓋部の腫瘤、悪性所見はない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112A46-ab.png
112B53,A,A,1.0,,口底の前方の右側に、やや隆起した病変が、みられ，これが腫瘤、腫福／腫瘤は舌下腺由来の腫湯を示唆する、わずかな腫脹？、口腔内写真で口底粘膜に異常を認めない（左側口底,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112B53-a.png
112B53,B,A,1.0,,右側が腫瘍組織、腫瘍実質問質、39、篩状の胞楽、小嚢胞状の腔、線維性結合組織、舌下腺、腫瘍であり、舌下腺に浸潤していると判断する、ある／境界明瞭な病変、つ、造影CTで、左側口底部に下顎に接する境界明瞭な,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112B53-a.png
112B53,C,A,1.0,,境界明瞭な高倍号、MRI 脂肪抑制12強調像で遺影CTよりも明瞭な高,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112B53-a.png
112B53,D,A,0.8,low_medical_signal,線維性結合組織,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112B53-a.png
112B79,A,A,0.8,low_medical_signal,右下顎歯槽粘膜には平滑な白板を伴う。左下顎臼歯部,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112B79-abc.png
112B79,B,A,0.8,low_medical_signal,癌真珠で満たされている,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112B79-abc.png
112C65,A,A,1.0,,舌部下面にポリープ様の白色腫瘤、線維化傾向を呈する肉芽組織が表、胞壁を形成している。上皮は認め、られない、・線維腫．乳頭腫．粘表皮癌．血管腫／右側類粘膜部の腫脹／ることから、疑われる疾患を考える。,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C65-ab.png
112C65,B,A,1.0,,嚢胞腔内には粘液状物が見受、けられ、多くの泡沫細胞が存、在している／みられる水疱状隆起などはみられない、境界明瞭な、低吸収域／上顎洞構造（後壁、洞底線、内盟）には問題がない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C65-ab.png
112C65,C,A,1.0,,均一な高信号域、頬粘膜の上皮（胞壁、の裏上皮ではない）、嚢胞腔、上皮性裏層を突いた、嚢胞¾、裏胞と同時に摘出され、た小唾液腺（類腺）,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C65-ab.png
